ticker,company_name,sector,filing_year,risk_rank,risk_category,risk_title,risk_description,why_material,unique_to_sector
EQIX,Equinix,Data Centers,2023,1,Operations,Power & Cooling Infrastructure Failure,Data centers require continuous power and cooling systems,Equipment failures interrupt customer services and violate SLAs; legacy infrastructure has higher risk,Yes
EQIX,Equinix,Data Centers,2023,2,Customer Concentration,Tech Industry & Cloud Provider Exposure,Heavy reliance on cloud providers and tech companies,Tech sector downturn or shift to self-built data centers threatens revenue,No
EQIX,Equinix,Data Centers,2023,3,Operating Costs,Rising Power Costs & Energy Availability,Data centers consume enormous electricity,Rising energy costs squeeze margins; limited power availability constrains growth,Yes
EQIX,Equinix,Data Centers,2023,4,Tax/Regulatory,REIT Qualification Risk,Complex REIT requirements given technology/service component,Loss of REIT status triggers significant corporate taxes and hurts valuations,No
EQIX,Equinix,Data Centers,2023,5,Foreign Currency,International Operations & Currency Risk,Operates in 30+ countries,Currency fluctuations and varying regulations create operational complexity and volatility,No
PSA,Public Storage,Self Storage,2023,1,Market Conditions,Occupancy Decline & Rental Rate Pressure,Industry experiencing oversupply; occupancy and rates declining,Competition from new supply threatens pricing power and NOI growth,Yes
PSA,Public Storage,Self Storage,2023,2,Economic Sensitivity,Consumer Discretionary Demand,Demand tied to life events and discretionary spending,Economic downturns reduce storage demand more than necessity real estate,Yes
PSA,Public Storage,Self Storage,2023,3,Competition,Market Saturation & Low Barriers to Entry,Fragmented industry with constant new competition,Difficult to maintain pricing power in oversupplied markets,No
PSA,Public Storage,Self Storage,2023,4,Property,Natural Disasters & Climate Risk,"Facilities vulnerable to hurricanes, floods, wildfires",Customer property damage leads to litigation and reputational harm,No
PSA,Public Storage,Self Storage,2023,5,Operating Costs,Operating Cost Inflation,"Rising labor, utilities, property taxes, insurance",High operating leverage means cost increases directly impact profitability,No
O,Realty Income,Retail (Net Lease),2023,1,Industry-Specific,Retail Sector Decline & E-commerce,60%+ retail exposure facing brick-and-mortar headwinds,"Store closures and bankruptcies (Rite Aid, Walgreens) directly impact rent collection",Yes
O,Realty Income,Retail (Net Lease),2023,2,Tenant Credit,Tenant Bankruptcy Risk,Single-tenant net lease properties,One tenant default means entire property vacant; exposure to weak retailers,Yes
O,Realty Income,Retail (Net Lease),2023,3,Economic Sensitivity,Retail Tenant Economic Exposure,Retail tenant sales tied to consumer spending,Economic downturns reduce tenant profitability and threaten rent payments,No
O,Realty Income,Retail (Net Lease),2023,4,Leasing,Re-leasing Risk & Vacancy,Single-tenant properties difficult to re-lease,Extended vacancies and retrofit costs hurt cash flow when tenants leave,Yes
O,Realty Income,Retail (Net Lease),2023,5,Concentration,Struggling Tenant Exposure,"Exposure to challenged retailers (Walgreens, Dollar Tree)",Multiple simultaneous tenant failures create concentration risk,No
AVB,AvalonBay,Residential/Multifamily,2023,1,Regulatory,Rent Control & Regulatory Restrictions,"Operating in high-regulation markets (CA, NY, MA)",Rent control caps returns; new regulations could dramatically reduce NOI and values,Yes
AVB,AvalonBay,Residential/Multifamily,2023,2,Development,Development Cost Overruns & Delays,Active development program,"Construction inflation, labor shortages, permitting delays hurt returns",No
AVB,AvalonBay,Residential/Multifamily,2023,3,Geographic Concentration,High-Cost Coastal Market Concentration,"Portfolio in expensive metros (CA, NYC, Boston, Seattle)","Markets sensitive to economic downturns, tech health, and out-migration",No
AVB,AvalonBay,Residential/Multifamily,2023,4,Financing,Interest Rate Sensitivity,Development-heavy business requires significant capital,Rising rates increase costs and reduce project feasibility; compresses cap rates,No
AVB,AvalonBay,Residential/Multifamily,2023,5,Market Conditions,Supply Oversupply Risk,New luxury apartments in same markets,Oversupply pressures occupancy and rental rates in key markets,No
WELL,Welltower,Healthcare,2023,1,Tenant Credit,Operator Financial Distress,Senior housing/healthcare operators face labor shortages and rising costs,Operator bankruptcies threaten rent payments and property operations,Yes
WELL,Welltower,Healthcare,2023,2,Regulatory,Government Reimbursement Changes,Medicare/Medicaid cuts reduce operator revenues,Regulatory changes impact tenant ability to pay rent,Yes
WELL,Welltower,Healthcare,2023,3,Market Conditions,Senior Housing Occupancy Risk,Occupancy hasn't fully recovered post-COVID,Slow recovery or demographic shifts suppress demand,Yes
WELL,Welltower,Healthcare,2023,4,Regulatory,Healthcare Regulatory Compliance,Properties must meet strict healthcare regulations,"Non-compliance results in shutdowns, fines, or inability to re-lease",Yes
WELL,Welltower,Healthcare,2023,5,Operating Costs,Healthcare Labor Shortages,Operators struggle to staff facilities,Labor costs and shortages impact operator profitability and property performance,Yes
VTR,Ventas,Healthcare,2023,1,Tenant Credit,Triple-Net Lease Tenant Risk,Reliance on operators under triple-net leases,Operator financial troubles (especially skilled nursing) threaten cash flows,Yes
VTR,Ventas,Healthcare,2023,2,Market Conditions,Senior Housing Occupancy Recovery,Occupancy below pre-pandemic levels,Slow recovery impacts same-store NOI and valuations,Yes
VTR,Ventas,Healthcare,2023,3,Regulatory,Medicare/Medicaid Reimbursement,Government reimbursement pressure,Cuts reduce operator margins and ability to pay rent,Yes
VTR,Ventas,Healthcare,2023,4,Operations,Mixed Portfolio Complexity,"Diverse portfolio (senior housing, medical office, hospitals, life science)",Operational complexity and varying risk profiles across sectors,No
VTR,Ventas,Healthcare,2023,5,Industry-Specific,Skilled Nursing Structural Headwinds,Skilled nursing faces low reimbursement and high labor costs,Higher risk of tenant defaults in this sector,Yes
DLR,Digital Realty,Data Centers,2023,1,Customer Concentration,Large Cloud/Tech Customer Concentration,Major cloud providers represent significant revenue,Loss of major tenants materially impacts cash flow,No
DLR,Digital Realty,Data Centers,2023,2,Technology,Technology Obsolescence Risk,Rapid tech changes affecting infrastructure,Competitors with newer facilities could win customers,Yes
DLR,Digital Realty,Data Centers,2023,3,Operating Costs,Power Availability & Cost,Massive power requirements,Limited power constrains growth; rising costs squeeze margins,Yes
DLR,Digital Realty,Data Centers,2023,4,Competition,Hyperscaler Competition,"Cloud providers (AWS, Google, Microsoft) building own data centers",Reduces demand for third-party colocation,Yes
DLR,Digital Realty,Data Centers,2023,5,Foreign Currency,International Operations & FX,Operates in 25+ countries,Currency fluctuations and political instability create earnings volatility,No
SPG,Simon Property Group,Retail/Malls,2023,1,Industry-Specific,Retail Apocalypse & E-commerce,Malls facing structural decline from online shopping,Anchor bankruptcies create vacancy cascades,Yes
SPG,Simon Property Group,Retail/Malls,2023,2,Tenant Credit,Anchor Tenant Bankruptcies,"Macy's, JCPenney, Sears closures",Massive vacant spaces difficult to re-tenant; triggers co-tenancy clauses,Yes
SPG,Simon Property Group,Retail/Malls,2023,3,Market Conditions,Mall Traffic Decline,Declining foot traffic,Reduces tenant sales and threatens viability,Yes
SPG,Simon Property Group,Retail/Malls,2023,4,Economic Sensitivity,Economic Sensitivity,Mall shopping is discretionary,Economic downturns dramatically reduce consumer spending,No
SPG,Simon Property Group,Retail/Malls,2023,5,Financing,High Debt Leverage,Significant debt load,Vulnerable to refinancing risk if valuations decline and rates stay elevated,No
